family,branch,branch_label,tick,enabled,applied,applied_count,internal_sa_count,internal_to_external_sa_ratio,internal_resolution_structure_count_selected,cam_item_count,pool_ev_to_er_ratio
F02,ev_propagation_thin,EV传播偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.56
F02,ev_propagation_thin,EV传播偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.56
F02,ev_induction_thin,ER诱发偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.6
F02,ev_induction_thin,ER诱发偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.6
F02,ev_induction_thin,ER诱发偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.6
F02,ev_induction_thin,ER诱发偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.6
F02,ev_induction_thin,ER诱发偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.6
F02,ev_retention_thin,EV保留偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.9
F02,ev_retention_thin,EV保留偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.9
F02,ev_retention_thin,EV保留偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.9
F02,ev_retention_thin,EV保留偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.9
F02,ev_retention_thin,EV保留偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.9
F02,ev_saturated_retention,传播饱和转保留,1,1,0,0,120.0,2.0,5.0,4.0,0.15
F02,ev_saturated_retention,传播饱和转保留,2,1,0,0,120.0,2.0,5.0,4.0,0.15
F02,ev_saturated_retention,传播饱和转保留,3,1,0,0,120.0,2.0,5.0,4.0,0.15
F02,ev_saturated_retention,传播饱和转保留,4,1,0,0,120.0,2.0,5.0,4.0,0.15
F02,ev_saturated_retention,传播饱和转保留,5,1,1,1,120.0,2.0,5.0,4.0,0.15
F02,disabled_control,关闭调参,1,0,0,0,21.0,0.344262,1.0,4.0,1.25
F02,disabled_control,关闭调参,2,0,0,0,21.0,0.344262,1.0,4.0,1.25
F02,disabled_control,关闭调参,3,0,0,0,21.0,0.344262,1.0,4.0,1.25
F02,disabled_control,关闭调参,4,0,0,0,21.0,0.344262,1.0,4.0,1.25
F02,disabled_control,关闭调参,5,0,0,0,21.0,0.344262,1.0,4.0,1.25
F03,healthy_control,健康对照,1,1,0,0,120.0,2.0,5.0,4.0,1.25
F03,healthy_control,健康对照,2,1,0,0,120.0,2.0,5.0,4.0,1.25
F03,healthy_control,健康对照,3,1,0,0,120.0,2.0,5.0,4.0,1.25
F03,healthy_control,健康对照,4,1,0,0,120.0,2.0,5.0,4.0,1.25
F03,healthy_control,健康对照,5,1,0,0,120.0,2.0,5.0,4.0,1.25
F03,endogenous_silent,沉寂保活,1,1,0,0,22.0,0.354839,1.0,4.0,1.25
F03,endogenous_silent,沉寂保活,2,1,0,0,22.0,0.354839,1.0,4.0,1.25
F03,endogenous_silent,沉寂保活,3,1,0,0,22.0,0.354839,1.0,4.0,1.25
F03,endogenous_silent,沉寂保活,4,1,0,0,22.0,0.354839,1.0,4.0,1.25
F03,endogenous_silent,沉寂保活,5,1,1,5,22.0,0.354839,1.0,4.0,1.25
F03,attention_overheat,注意力过热,1,1,0,0,120.0,2.0,5.0,24.0,1.25
F03,attention_overheat,注意力过热,2,1,0,0,120.0,2.0,5.0,24.0,1.25
F03,attention_overheat,注意力过热,3,1,0,0,120.0,2.0,5.0,24.0,1.25
F03,attention_overheat,注意力过热,4,1,0,0,120.0,2.0,5.0,24.0,1.25
F03,attention_overheat,注意力过热,5,1,1,1,120.0,2.0,5.0,24.0,1.25
F03,ev_propagation_thin,EV传播偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.57
F03,ev_propagation_thin,EV传播偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.57
F03,ev_propagation_thin,EV传播偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.57
F03,ev_propagation_thin,EV传播偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.57
F03,ev_propagation_thin,EV传播偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.57
F03,ev_induction_thin,ER诱发偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.6
F03,ev_induction_thin,ER诱发偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.6
F03,ev_induction_thin,ER诱发偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.6
F03,ev_induction_thin,ER诱发偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.6
F03,ev_induction_thin,ER诱发偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.6
F03,ev_retention_thin,EV保留偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.9
F03,ev_retention_thin,EV保留偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.9
F03,ev_retention_thin,EV保留偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.9
F03,ev_retention_thin,EV保留偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.9
F03,ev_retention_thin,EV保留偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.9
F03,ev_saturated_retention,传播饱和转保留,1,1,0,0,120.0,2.0,5.0,4.0,0.15
F03,ev_saturated_retention,传播饱和转保留,2,1,0,0,120.0,2.0,5.0,4.0,0.15
F03,ev_saturated_retention,传播饱和转保留,3,1,0,0,120.0,2.0,5.0,4.0,0.15
F03,ev_saturated_retention,传播饱和转保留,4,1,0,0,120.0,2.0,5.0,4.0,0.15
F03,ev_saturated_retention,传播饱和转保留,5,1,1,1,120.0,2.0,5.0,4.0,0.15
F03,disabled_control,关闭调参,1,0,0,0,22.0,0.354839,1.0,4.0,1.25
F03,disabled_control,关闭调参,2,0,0,0,22.0,0.354839,1.0,4.0,1.25
F03,disabled_control,关闭调参,3,0,0,0,22.0,0.354839,1.0,4.0,1.25
F03,disabled_control,关闭调参,4,0,0,0,22.0,0.354839,1.0,4.0,1.25
F03,disabled_control,关闭调参,5,0,0,0,22.0,0.354839,1.0,4.0,1.25
F04,healthy_control,健康对照,1,1,0,0,120.0,2.0,5.0,4.0,1.25
F04,healthy_control,健康对照,2,1,0,0,120.0,2.0,5.0,4.0,1.25
