run_id,condition,replicate,case_id,phase,phase_order,step_id,probe_kind,input_text_preview,expected_context,actual_context,tail,input_len,stimulus_best_match_target_id,target_seen_before,stimulus_best_match_score,stimulus_match_v2_context_support_mean,stimulus_match_v2_order_alignment_mean,stimulus_match_v2_structure_inclusion_mean,stimulus_match_v2_energy_profile_mean,stimulus_residual_ratio,stimulus_round_count,stimulus_final_residual_total,structure_delta,residual_delta,storage_cost,storage_cost_per_char,reuse_signal_count,new_path_count,pool_cp_top1_cp,pool_ev_top1_ev,mechanism_positive,stimulus_owner_local_residual_raw_signature_hit_count,stimulus_owner_local_residual_common_signature_hit_count,stimulus_owner_local_residual_fuzzy_equivalent_signature_hit_count,stimulus_owner_local_residual_raw_reinforce_count,stimulus_owner_local_residual_common_reinforce_count,stimulus_owner_local_residual_parent_common_reuse_count,stimulus_owner_local_residual_common_entry_reinforce_count,stimulus_owner_local_residual_common_structure_reuse_count,stimulus_owner_local_residual_raw_append_count,stimulus_owner_local_residual_common_entry_append_count,stimulus_owner_local_residual_common_structure_create_count
paper_e01_crossover_control_F01_r1_context_strict_probe_e01_v4_crossover_final,control,1,F01,probe_ordered_B,2,B_probe_ord,B_ordered_probe,甲乙丙丁戊己复核表格,甲乙丙丁戊己,甲乙丙丁戊己,复核表格,10.0,st_246897,0.0,0.91894059,0.75619462,0.87333333,0.98875605,0.80651733,0.0,14.0,0.11326226,29.0,28.0,57.0,5.7,3.0,16.0,10.82405759,16.224643,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0
paper_e01_crossover_control_F01_r1_context_strict_probe_e01_v4_crossover_final,control,1,F01,probe_permuted_B,3,B_probe_perm,B_permuted_probe,己戊丁丙乙甲复核表格,甲乙丙丁戊己,己戊丁丙乙甲,复核表格,10.0,st_246939,0.0,0.91585417,0.76572042,0.83848505,0.96849743,0.32965855,0.0,14.0,4.76106584,21.0,18.0,39.0,3.9,15.0,9.0,19.481663,29.481663,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
paper_e01_crossover_control_F02_r1_context_strict_probe_e01_v4_crossover_final,control,1,F02,cold_A,0,A0,A,庚辛壬癸子丑安排复查,庚辛壬癸子丑,庚辛壬癸子丑,安排复查,10.0,st_247019,0.0,0.93107548,0.0,1.0,1.0,1.0,0.0,11.0,0.1107042,31.0,20.0,51.0,5.1,3.0,10.0,9.39419439,3.35485266,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
paper_e01_crossover_control_F02_r1_context_strict_probe_e01_v4_crossover_final,control,1,F02,history_B,1,B_hist,B_permuted_history,丑子癸壬辛庚通知小林,庚辛壬癸子丑,丑子癸壬辛庚,通知小林,10.0,st_247044,0.0,0.88331819,0.0,1.0,1.0,0.71428571,0.0,14.0,7.64202966,34.0,28.0,62.0,6.2,1.0,15.0,8.96113582,12.02931562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0
paper_e01_crossover_control_F02_r1_context_strict_probe_e01_v4_crossover_final,control,1,F02,probe_ordered_B,2,B_probe_ord,B_ordered_probe,庚辛壬癸子丑通知小林,庚辛壬癸子丑,庚辛壬癸子丑,通知小林,10.0,st_247012,0.0,0.91894059,0.75619462,0.87333333,0.98875605,0.80651733,0.0,14.0,0.11326226,29.0,28.0,57.0,5.7,3.0,16.0,10.82405759,16.224643,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0
paper_e01_crossover_control_F02_r1_context_strict_probe_e01_v4_crossover_final,control,1,F02,probe_permuted_B,3,B_probe_perm,B_permuted_probe,丑子癸壬辛庚通知小林,庚辛壬癸子丑,丑子癸壬辛庚,通知小林,10.0,st_247054,0.0,0.91585417,0.76572042,0.83848505,0.96849743,0.32965855,0.0,14.0,4.76106584,21.0,18.0,39.0,3.9,15.0,9.0,19.481663,29.481663,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
paper_e01_crossover_calibration_F01_r1_context_strict_probe_e01_v4_crossover_final,calibration,1,F01,cold_A,0,A0,A,甲乙丙丁戊己开始记录,甲乙丙丁戊己,甲乙丙丁戊己,开始记录,10.0,st_247134,0.0,0.93107548,0.0,1.0,1.0,1.0,0.0,11.0,0.1107042,31.0,20.0,51.0,5.1,3.0,10.0,9.39419439,3.35485266,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
paper_e01_crossover_calibration_F01_r1_context_strict_probe_e01_v4_crossover_final,calibration,1,F01,history_B,1,B_hist,B_ordered_history,甲乙丙丁戊己复核表格,甲乙丙丁戊己,甲乙丙丁戊己,复核表格,10.0,st_247159,0.0,0.88331786,0.0,1.0,1.0,0.71428571,0.0,14.0,7.64211319,34.0,28.0,62.0,6.2,1.0,15.0,8.95785738,11.80615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0
paper_e01_crossover_calibration_F01_r1_context_strict_probe_e01_v4_crossover_final,calibration,1,F01,probe_ordered_B,2,B_probe_ord1,B_ordered_probe,甲乙丙丁戊己复核表格,甲乙丙丁戊己,甲乙丙丁戊己,复核表格,10.0,st_247127,0.0,0.93130205,0.75560038,0.86362668,0.99525451,0.81858368,0.0,9.0,0.11853333,16.0,18.0,34.0,3.4,0.0,9.0,11.53688853,16.402065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
paper_e01_crossover_calibration_F01_r1_context_strict_probe_e01_v4_crossover_final,calibration,1,F01,probe_ordered_B,2,B_probe_ord2,B_ordered_probe,甲乙丙丁戊己复核表格,甲乙丙丁戊己,甲乙丙丁戊己,复核表格,10.0,st_247170,0.0,0.91612721,0.76000042,0.83318502,0.93817564,0.48239645,0.0,14.0,2.98685643,19.0,20.0,39.0,3.9,6.0,12.0,11.6312517,25.448547,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
paper_e01_crossover_calibration_F02_r1_context_strict_probe_e01_v4_crossover_final,calibration,1,F02,cold_A,0,A0,A,庚辛壬癸子丑安排复查,庚辛壬癸子丑,庚辛壬癸子丑,安排复查,10.0,st_247234,0.0,0.93107548,0.0,1.0,1.0,1.0,0.0,11.0,0.1107042,31.0,20.0,51.0,5.1,3.0,10.0,9.39419439,3.35485266,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
paper_e01_crossover_calibration_F02_r1_context_strict_probe_e01_v4_crossover_final,calibration,1,F02,history_B,1,B_hist,B_ordered_history,庚辛壬癸子丑通知小林,庚辛壬癸子丑,庚辛壬癸子丑,通知小林,10.0,st_247259,0.0,0.88331786,0.0,1.0,1.0,0.71428571,0.0,14.0,7.64211319,34.0,28.0,62.0,6.2,1.0,15.0,8.95785738,11.80615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0
paper_e01_crossover_calibration_F02_r1_context_strict_probe_e01_v4_crossover_final,calibration,1,F02,probe_ordered_B,2,B_probe_ord1,B_ordered_probe,庚辛壬癸子丑通知小林,庚辛壬癸子丑,庚辛壬癸子丑,通知小林,10.0,st_247227,0.0,0.93130205,0.75560038,0.86362668,0.99525451,0.81858368,0.0,9.0,0.11853333,16.0,18.0,34.0,3.4,0.0,9.0,11.53688853,16.402065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
paper_e01_crossover_calibration_F02_r1_context_strict_probe_e01_v4_crossover_final,calibration,1,F02,probe_ordered_B,2,B_probe_ord2,B_ordered_probe,庚辛壬癸子丑通知小林,庚辛壬癸子丑,庚辛壬癸子丑,通知小林,10.0,st_247270,0.0,0.91612721,0.76000042,0.83318502,0.93817564,0.48239645,0.0,14.0,2.98685643,19.0,20.0,39.0,3.9,6.0,12.0,11.6312517,25.448547,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
